,predictions
0,9420.93569580271
1,2446.8857477345
2,5650.792991527996
3,2741.9546895103713
4,3093.9098550508347
5,4370.992725532318
6,4940.141993397504
7,8701.875526261421
8,5661.086460482328
9,9283.73993095849
10,4014.682659409973
11,2982.7098238174267
12,4625.668281259689
13,5123.043420293313
14,4500.575802872575
15,2034.6679910399755
16,5013.704849871664
17,3860.703917189941
18,2618.7467063846652
19,9091.244127237545
20,1688.5147117677136
21,2359.1213407986465
22,1978.1084337824745
23,8952.791543689891
24,1132.3088435014351
25,9949.174910424821
26,1968.010913229523
27,2383.5341238123533
28,5880.515844117797
29,6856.873686315387
30,4444.527240757111
31,3969.294737771929
32,3596.0463175271916
33,5740.824819629756
34,3909.379983265465
35,5629.918211362003
36,2340.561760494927
37,5611.978411066517
38,3881.2290896690547
39,4580.754785985017
40,3843.9994411066973
41,3731.4012681668937
42,6786.725265973635
43,1909.57361927777
44,3596.2545062231575
45,5855.038266628304
46,1657.2481034927594
47,1648.7430072985928
48,1874.733382820528
49,4740.533604939834
50,2635.450704086042
51,2532.84481823449
52,4247.571453083841
53,3623.0950011175187
54,2227.083708102963
55,2654.5878646627575
56,4503.2302309021825
57,4805.723689814443
58,4915.888021781132
59,2876.508722500996
60,3094.27041808592
61,4694.199943980928
62,6136.935712612409
63,6068.554499819452
64,5087.463933309012
65,3351.241853656135
66,5711.09910176362
67,4978.594488622068
68,3571.322534138634
69,5939.193787816322
70,3536.1872770496198
71,3139.9655968183733
72,6079.025321805256
73,4902.271818565531
74,2061.262824279079
75,3922.0629480918105
76,4464.330611702639
77,5277.068157746078
78,2991.6827604071436
79,5357.139788330585
80,1948.5224081684248
81,4143.599401279136
82,3638.315918228515
83,1813.2095815776286
84,6975.93398295824
85,2949.980779489529
86,5900.121486109216
87,1592.3770148041529
88,1790.8904287743599
89,3169.8250465272695
90,9673.518981487803
91,4956.124092046778
92,6437.0070406232235
93,3288.230711994608
94,4123.226126603869
95,4797.1281671359675
96,3376.905399395069
97,2766.334816665399
98,5761.06250331131
99,6045.932596872545
100,2695.480361304719
101,3838.96533813546
102,4863.965297083167
103,2613.4402989247446
104,4795.912088068129
105,2961.1228330445865
106,4044.9652606941413
107,5607.861814739816
108,2333.862140370885
109,1742.9665380369686
110,1688.512996490653
111,3611.053329776777
112,5728.797857290572
113,5253.165649257445
114,2627.075787841441
115,4387.655784392041
116,2194.46813069514
117,3947.8757168812026
118,5119.395754918115
119,8752.640124203377
120,2118.664989016841
121,3475.3000812502373
122,3844.0596661126665
123,3791.7695204304287
124,5809.581877933995
125,5793.905251902047
126,1892.6526303970827
127,4544.499221974216
128,6926.0570348883
129,5156.416770875942
130,4631.9424607674255
131,2775.873074241887
132,4670.494979636096
133,5872.587581625869
134,3468.1010346529747
135,5314.369677653984
136,5517.188167862527
137,3609.84615803428
138,4547.283636624271
139,3520.808564123243
140,3028.3993815246545
141,5486.878643814902
142,1894.443695757439
143,2184.7684101701407
144,5082.398966575753
145,10699.63227731827
146,3729.8507888171066
147,3265.9135957019134
148,9368.09130203595
149,6267.450737354552
150,2630.760435447459
151,4411.671216936495
152,1929.5618965143385
153,2681.3375391308937
154,3600.3902149287687
155,3412.9765999567458
156,2239.8901222984127
157,2006.3713987835195
158,5707.07294890224
159,7071.276688900011
160,1193.030128242712
161,5129.7370001227
162,1856.125627464278
163,3876.1646966405347
164,6761.590462432096
165,5154.480710154844
166,4933.677057460722
167,4985.99041438011
168,4149.6094135564945
169,7025.9623179104665
170,6602.78263859756
171,2153.273505841767
172,5279.157886429947
173,3370.7107492904825
174,3436.554923226256
175,4372.622395541854
176,7168.356144166289
177,1034.5539844537664
178,2864.6430612842864
179,1397.9925481257371
180,7283.945016922454
181,4000.2947550395006
182,2207.288534483038
183,11000.217122581369
184,9089.4945485837
185,4207.369555577299
186,6464.039329934337
187,3231.3485236965357
188,6251.714787682489
189,4069.3826938318944
190,8631.860629095028
191,1609.998011421174
192,8955.847716612538
193,6428.919113569337
194,2475.7984072141758
195,3951.0441360426303
196,9483.045123631067
197,3566.4644744728475
198,1433.5728353287705
199,8658.398558303768
200,9284.42705323371
201,5386.50599680272
202,8381.727041195056
203,1930.7395312281976
204,7404.388030071355
205,5886.134615394934
206,5828.437173316196
207,1384.5896243843413
208,1977.894949042011
209,2053.8407269416593
210,5723.974158952267
211,7299.542058755226
212,1985.6270961488715
213,4812.799844799901
214,2464.3110776839376
215,7363.964903313422
216,3464.910434001867
217,5929.46053488204
218,3468.3043996301803
219,2645.9026091773344
